,nn,sp_simp,Type,Species,Width,Height,sp_simp,Type,Species,Width,Height
67,1.180042372,men.spi,shrub,men.spi,35,24,tha.mon,shrub,tha.mon,80,48
97,0.986154146,men.spi,shrub,men.spi,78,53,u3,shrub,u3,45,43
221,0.570087713,men.spi,shrub,men.spi,71,49,u3,shrub,u3,14,31
262,0.424264069,men.spi,shrub,men.spi,62,30,u3,shrub,u3,53,50
271,0.855862138,men.spi,shrub,men.spi,86,46,u3,shrub,u3,66,50
297,1.513274595,men.spi,shrub,men.spi,140,40,ephedra,shrub,ephedra,85,57
303,0.955248659,men.spi,shrub,men.spi,40,18,noID,shrub,u3?,64,35
318,0.447213595,men.spi,shrub,men.spi,37,17,cyl.ech,cactus,cyl.ech,23,38
341,0.921954446,men.spi,shrub,men.spi,17,15,u3,shrub,u3,33,37
370,1.063014581,men.spi,shrub,men.spi,64,42,u3,shrub,u3,97,43
377,1.274754878,men.spi,shrub,men.spi,16,10,u3,shrub,u3,56,48
399,1.491643389,men.spi,shrub,men.spi,67,29,men.spi,shrub,men.spi,40,20
400,0.694622199,men.spi,shrub,men.spi,40,20,cyl.ech,cactus,cyl.ech,46,34
482,0.696419414,men.spi,shrub,men.spi,45,23,amb.sal,shrub,amb.sal,53,73
505,0.707106781,men.spi,shrub,men.spi,86,45,u3,shrub,u3,51,45
533,0.430116263,men.spi,shrub,men.spi,50,42,ephedra,shrub,ephedra,165,60
2,0.353553391,PG,shrub,PG,79,65,ephedra,shrub,ephedra,48,52
10,0.585234995,PG,shrub,PG,153,106,tha.mon,shrub,tha.mon,70,37
80,0.540832691,PG,shrub,PG,135,78,amb.sal,shrub,amb.sal,26,35
268,1.74642492,PG,shrub,PG,109,75,u3,shrub,u3,28,30
358,0.948683298,PG,shrub,PG,145,106,u3,shrub,u3,49,31
3,0.935200513,sal.mex,shrub,s.mexicana,56,50,amb.sal,shrub,amb.sal,73,57
357,0.806225775,sal.mex,shrub,sal.mex,69,70,ephedra,shrub,ephedra,52,41
520,0.65,sal.mex,shrub,sal.mex,80,53,sal.mex,shrub,sal.mex,42,47
522,0.05,sal.mex,shrub,sal.mex,42,47,eri.fas,shrub,eri.fas,27,45
7,0.5,tha.mon,shrub,tha.mon,89,44,u3,shrub,u3,44,40
9,0.585234995,tha.mon,shrub,tha.mon,70,37,PG,shrub,PG,153,106
19,0,tha.mon,shrub,tha.mon,54,40,ephedra,shrub,ephedra,54,40
33,0.070710678,tha.mon,shrub,tha.mon,69,34,cyl.ram,cactus,cyl.ram,9,26
45,0.3,tha.mon,shrub,tha.mon,82,46,ephedra,shrub,ephedra,104,70
65,0.901387819,tha.mon,shrub,tha.mon,57,34,u3,shrub,u3,50,44
74,0.2,tha.mon,shrub,tha.mon,53,42,u3,shrub,u3,48,30
76,0.790569415,tha.mon,shrub,tha.mon,67,40,lar.tri,shrub,lar.tri,68,68
77,1.180042372,tha.mon,shrub,tha.mon,80,48,men.spi,shrub,men.spi,35,24
101,0.291547595,tha.mon,shrub,tha.mon,89,30,cyl.ram,cactus,cyl.ram,18,24
103,0.5,tha.mon,shrub,tha.mon,85,38,u3,shrub,u3,53,43
114,1.85,tha.mon,shrub,tha.mon,84,42,eri.fas,shrub,eri.fas,38,34
120,0.670820393,tha.mon,shrub,tha.mon,70,45,eri.coo,shrub,eri.coo,50,38
131,1.331352696,tha.mon,shrub,tha.mon,80,42,lar.tri,shrub,lar.tri,290,235
205,0.360555128,tha.mon,shrub,tha.mon,61,59,ephedra,shrub,ephedra,134,76
222,0.390512484,tha.mon,shrub,tha.mon,46,35,amb.sal,shrub,amb.sal,75,45
226,1.13137085,tha.mon,shrub,tha.mon,79,44,u3,shrub,u3,55,28
243,0.424264069,tha.mon,shrub,tha.mon,79,46,u3,shrub,u3,31,33
281,0.552268051,tha.mon,shrub,tha.mon,80,40,u3,shrub,u3,36,42
286,1.012422837,tha.mon,shrub,tha.mon,36,24,u3,shrub,u3,36,39
329,0,tha.mon,shrub,tha.mon,85,69,amb.sal,shrub,amb.sal,85,69
336,1.051189802,tha.mon,shrub,tha.mon,69,38,cyl.ram,cactus,cyl.ram,31,43
393,0.304138127,tha.mon,shrub,tha.mon,78,40,u3,shrub,u3,35,35
397,0.522015325,tha.mon,shrub,tha.mon,44,35,u3,shrub,u3,30,54
419,1.277693234,tha.mon,shrub,tha.mon,51,40,u3,shrub,u3,70,36
436,1.591383047,tha.mon,shrub,tha.mon,68,35,u3,shrub,u3,49,46
447,0.403112888,tha.mon,shrub,tha.mon,89,43,ephedra,shrub,ephedra,70,48
460,0.531507291,tha.mon,shrub,tha.mon,18,14,u3,shrub,u3,52,39
471,1.101135777,tha.mon,shrub,tha.mon,88,42,cyl.ram,cactus,cyl.ram,61,58
478,1.051189802,tha.mon,shrub,tha.mon,89,50,u3,shrub,u3,74,33
495,1.236931688,tha.mon,shrub,tha.mon,36,22,amb.sal,shrub,amb.sal,80,50
508,0.304138126,tha.mon,shrub,tha.mon,66,28,u3,shrub,u3,56,36
534,0.206155281,tha.mon,shrub,tha.mon,60,30,tha.mon,shrub,tha.mon,35,26
535,0.206155281,tha.mon,shrub,tha.mon,35,26,tha.mon,shrub,tha.mon,60,30
453,1.25399362,u2,shrub,u2,56,34,u3,shrub,u3,50,38
6,0,u3,shrub,u3,44,40,u3,shrub,u3,44,40
8,0,u3,shrub,u3,44,40,u3,shrub,u3,44,40
15,0.565685425,u3,shrub,u3,40,38,amb.sal,shrub,amb.sal,46,45
17,1.101135777,u3,shrub,u3,41,47,u3,shrub,u3,80,45
18,1.101135777,u3,shrub,u3,80,45,u3,shrub,u3,41,47
22,0.670820393,u3,shrub,u3,45,30,tha.mon,shrub,tha.mon,54,40
24,0.585234995,u3,shrub,u3,38,30,u3,shrub,u3,23,17
25,0.585234995,u3,shrub,u3,23,17,u3,shrub,u3,38,30
28,0.632455532,u3,shrub,u3,25,44,dense.u3,shrub,dense.u3,50,50
